appid,,type,is_free,release_date,required_age,short_description,supported_languages,header_image,background,metacritic_score,recommendations_total,mat_supports_windows,mat_supports_mac,mat_supports_linux,mat_initial_price,mat_final_price,mat_discount_percent,mat_currency,mat_achievement_count,mat_pc_os_min,mat_pc_processor_min,mat_pc_memory_min,mat_pc_graphics_min,mat_pc_os_rec,mat_pc_processor_rec,mat_pc_memory_rec,mat_pc_graphics_rec,created_at,updated_at,,,,name
1200,,game,FALSE,14/03/06,0,"Fight in the theatre of war that changed the world forever. Battle alongside your compatriots on some of the most inhospitable environments of the Eastern Front in Red Orchestra: Ostfront 41-45. Red Orchestra places you in the most realistic WWII first-person multi-player combat to date on the PC, allowing the player to fight through...","English, French, Russian",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1200/header.jpg?t=1551467896,https://store.akamai.steamstatic.com/images/storepagebackground/app/1200?t=1551467896,81,1471,TRUE,TRUE,TRUE,499,164,67,USD,44,,1.2 GHZ or Equivalent,512 MB RAM,64 MB DX9 Compliant,,2.4 GHZ,,,2025-09-07 16:27:12.218587+00:00,2025-09-29 06:04:55.062108+00:00,,,,Red Orchestra: Ostfront 41-45
1230,,,TRUE,17/10/08,0,"Experience some of the fiercest battles of WWII across North Africa with Mare Nostrum. Building on the realistic, tactical game play that made Red Orchestra: Ostfront 41-45 a fan favourite, Mare Nostrum lets players battle it out in an all new setting.",English,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1230/header.jpg?t=1447351524,https://store.akamai.steamstatic.com/images/storepagebackground/app/1230?t=1447351524,,124,TRUE,TRUE,TRUE,,,,,26,,,,,,,,,2025-09-07 16:27:12.218587+00:00,2025-09-29 02:01:37.107239+00:00,,,,Mare Nostrum
1250,,game,FALSE,14/05/09,17,"6-player co-op survival horror at its finest! Free updates, free special events and a ridiculous amount of fun!","English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Hungarian, Polish, Russian<strong>*</strong><br><strong>*</strong>languages with full audio support",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1250/header.jpg?t=1726777771,https://store.akamai.steamstatic.com/images/storepagebackground/app/1250?t=1726777771,72,39004,TRUE,TRUE,TRUE,1999,1999,0,USD,285,Windows XP/Vista,1.2 GHZ or Equivalent,1 GB RAM,64 MB DX9 Compliant,Windows XP/Vista,2.4 GHZ or Equivalent,2 GB RAM,128 MB DX9 Compliant with PS 2.0 support,2025-09-07 16:27:12.218587+00:00,2025-09-29 06:04:55.062108+00:00,,,,Killing Floor
1256,,dlc,FALSE,24/07/09,0,"The Outbreak Character Pack adds 4 new and unique playable characters for Killing Floor as Downloadable Content. Once you have bought the pack, they will become selectable in the character selection screen in-game.",English,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1256/header.jpg?t=1447352357,https://store.akamai.steamstatic.com/images/storepagebackground/app/1256?t=1447352357,,,FALSE,FALSE,FALSE,799,799,0,USD,,,,,,,,,,2025-09-07 16:27:12.218587+00:00,2025-09-29 02:01:37.107239+00:00,,,,Killing Floor Outbreak Character Pack
1257,,dlc,FALSE,19/05/10,0,"The Nightfall Character Pack adds 4 more new and unique playable characters for Killing Floor as Downloadable Content. Once you have bought the pack, they will become selectable in the character selection screen in-game. Mr. Foster ""The SuperFantastic life of a day trader and evening attraction at London's premiere karaoke bar"".",English,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1257/header.jpg?t=1447352643,https://store.akamai.steamstatic.com/images/storepagebackground/app/1257?t=1447352643,,,TRUE,TRUE,FALSE,799,799,0,USD,,Windows XP/Vista,1.2 GHZ or Equivalent,1 GB RAM,64 MB DX9 Compliant,Windows XP/Vista,2.4 GHZ or Equivalent,2 GB RAM,128 MB DX9 Compliant with PS 2.0 support,2025-09-07 16:27:12.218587+00:00,2025-09-29 06:03:59.518076+00:00,,,,Killing Floor: Nightfall Character Pack
1280,,,TRUE,09/06/09,0,"Darkest Hour: Europe ‘44-’45 is a World War 2 tactical squad shooter based on Tripwire Interactive’s award-winning Red Orchestra: Ostfront. Starting as a humble modification, the game has grown and evolved into one of the most formidable and intense WW2 shooter experiences available on any platform.","English, Polish, Russian, Ukrainian, Spanish - Spain, German",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1280/header.jpg?t=1755915812,https://store.akamai.steamstatic.com/images/storepagebackground/app/1280?t=1755915812,,1823,TRUE,TRUE,TRUE,,,,,,,,,,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,,,,Darkest Hour: Europe '44-'45
1300,,game,FALSE,10/05/06,0,"You are John Blade, commander of HardCorps, an elite security force dedicated to protecting the people of Freeport City. Four years have passed since your first battle with Elexis Sinclaire, a beautiful, brilliant, and ruthless scientist who is out to remake humanity according to her own twisted vision.","English, Russian, French",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1300/header.jpg?t=1464638889,https://store.akamai.steamstatic.com/images/storepagebackground/app/1300?t=1464638889,75,942,TRUE,TRUE,TRUE,999,999,0,USD,,,,,,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,,,,SiN Episodes: Emergence
1313,,game,FALSE,18/03/20,0,SiN: Gold has returned! Free update for original owners!,"English, French",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1313/header.jpg?t=1591116067,https://store.akamai.steamstatic.com/images/storepagebackground/app/1313?t=1591116067,,346,TRUE,TRUE,TRUE,999,999,0,USD,,Windows 7,Pentium 166,32 MB RAM,PCI or AGP video card with 2 MB RAM,Windows 10,Pentium 200,64 MB RAM,,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,,,,SiN: Gold
1500,,game,FALSE,01/12/05,0,"Darwinia blends real-time strategy, action, and puzzles with a unique gesture-based control system. Save the Darwinians, battle viruses, and restore order in a retro-inspired digital world. Winner of multiple prestigious  awards, including the Seumas McNally Grand Prize at IGF 2006.","English, German, French, Italian, Spanish - Spain",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1500/header.jpg?t=1747681440,https://store.akamai.steamstatic.com/images/storepagebackground/app/1500?t=1747681440,84,750,TRUE,TRUE,TRUE,1199,1199,0,USD,,Windows 7 or later,Intel Core i5 (Westmere) or better,4GB of RAM,4GB of VRAM,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,,,,Darwinia
1502,,demo,TRUE,14/07/05,0,"Combining fast-paced action with strategic battle planning, Darwinia features a novel and intuitive control mechanism, a graphical style ripped from 80's retro classics like Tron and Defender, and a story concerning a tribe of nomadic sprites trapped in a modern 3D world.",English,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1502/header.jpg?t=1726563037,https://store.akamai.steamstatic.com/images/storepagebackground/app/1502?t=1726563037,84,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,,,,Darwinia Demo
